X,Y,OBJECTID,CASE_ID,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_HWY_IND,STATE_ROUTE,RAMP_INTERSECTION,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,COUNTY,CITY_TIMS,POINT_X,POINT_Y,CRASH_TYPE,YEAR
-117.872332149075,33.7383548615626,1,6292127,2015,2015/02/18 00:00:00+00,1223,3,RICHLAND ST,ROSS ST, ,Y,N, , ,1,1,0,0,0,0,0,0,0,0,1,0,ORANGE,SANTA ANA,-117.87232005,33.73835002,AUTO-AUTO,2022
-117.827036154191,33.7732357680992,2,6292164,2015,2015/02/17 00:00:00+00,1905,2,FAIRHAVEN AV,S YORBA ST,E,N,N, , ,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,ORANGE,-117.82702406,33.77323092,AUTO-PEDESTRIAN,2022
-117.894009602898,33.7344948400636,3,6292200,2015,2015/02/23 00:00:00+00,0531,1,MCFADDEN AV,RAITT ST,E,N,N, , ,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,SANTA ANA,-117.8939975,33.73449,AUTO-PEDESTRIAN,2022
-117.894012882309,33.7344948397686,4,6923670,2015,2015/02/23 00:00:00+00,0530,1,MCFADDEN AV,RAITT ST,E,N,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,ORANGE,SANTA ANA,-117.89400078,33.73449,AUTO-PEDESTRIAN,2022
-117.774342102085,33.8560749308539,5,6292241,2015,2015/04/11 00:00:00+00,1453,6,SANTA ANA CANYON RD,QUINTANA DR, ,Y,N, , ,1,1,0,0,0,0,0,0,0,0,0,0,ORANGE,ANAHEIM,-117.77433001,33.85607007,AUTO-AUTO,2022
-118.010980181222,33.715604831304,6,6292244,2015,2015/04/20 00:00:00+00,1026,1,WARNER,SCULPIN,E,N,N, , ,1,1,0,0,0,0,0,0,0,0,1,0,ORANGE,HUNTINGTON BEACH,-118.01096806,33.7156,AUTO-AUTO,2022
-117.867602100078,33.7588326045057,7,6292395,2015,2015/04/19 00:00:00+00,1511,7,MAIN ST,16TH ST,S,N,N, , ,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,SANTA ANA,-117.86759,33.75882776,AUTO-PEDESTRIAN,2022
-117.938446580019,33.855488651316,8,6292400,2015,2015/01/27 00:00:00+00,1353,2,MAXZIM AV,WOODS AV,W,N,N, , ,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,FULLERTON,-117.93843446,33.8554838,AUTO-PEDESTRIAN,2022
-117.92865222877,33.736004947913,9,6292409,2015,2015/03/14 00:00:00+00,2154,6,NEWHOPE ST,FLIGHT AV, ,Y,N, , ,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,SANTA ANA,-117.92864012,33.73600011,AUTO-PEDESTRIAN,2022
-117.875462203834,33.6619348427644,10,6292432,2015,2015/05/29 00:00:00+00,1745,5,CAMPUS DR,BRISTOL ST, ,Y,N, , ,1,1,1,0,1,0,0,0,0,0,1,0,ORANGE,UNINCORPORATED,-117.87545011,33.66193001,AUTO-AUTO,2022
-117.88732317724,33.6801448342691,11,6292462,2015,2015/07/07 00:00:00+00,0135,2,BAKER ST,RANDOLPH AV,E,N,N, , ,1,1,3,0,1,2,0,0,0,0,0,0,ORANGE,COSTA MESA,-117.88731108,33.68014,AUTO-AUTO,2022
-117.984049116316,33.7181528333301,12,6292504,2015,2015/04/27 00:00:00+00,2212,1,MONTCLAIR,MONTCLAIR 16832, ,N,N, , ,1,1,0,0,0,0,0,0,0,0,1,0,ORANGE,HUNTINGTON BEACH,-117.984037,33.718148,AUTO-AUTO,2022
-117.922722689856,33.6334061268001,13,6292505,2015,2015/05/02 00:00:00+00,2200,6,NEWPORT BL,E 16TH ST, ,Y,N,55, ,1,1,2,0,0,2,0,0,0,0,0,0,ORANGE,COSTA MESA,-117.92271059,33.6334013,AUTO-AUTO,2022
-117.992884773602,33.7890062504936,14,6292545,2015,2015/02/02 00:00:00+00,1741,1,RT 39,CHAPMAN AV,N,N,Y,39,-,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,STANTON,-117.99287265,33.78900141,AUTO-PEDESTRIAN,2022
-117.608985217425,33.5220570818261,15,6292581,2015,2015/06/19 00:00:00+00,0335,5,RT 74,GATEWAY PL,E,N,Y,74,-,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,UNINCORPORATED,-117.60897318,33.52205225,AUTO-PEDESTRIAN,2022
-117.610482038238,33.5218444414534,16,90488064,2017,2017/06/17 00:00:00+00,0812,6,SR 74 W/B (ORTEGA HWY),GATEWAY PLACE,E,N,Y,74, ,2,0,1,1,0,0,0,0,0,0,0,1,ORANGE,UNINCORPORATED,-117.61047,33.52183961,AUTO-AUTO,2022
-117.883984721075,33.6050859059175,17,6292613,2015,2015/08/02 00:00:00+00,1327,7,BAYSIDE DR,EL PASEO DR,E,N,N, , ,1,1,0,0,0,0,0,0,1,0,0,0,ORANGE,NEWPORT BEACH,-117.88397263,33.60508108,AUTO-BICYCLIST,2022
-117.925819430385,33.6301825764041,18,6292682,2015,2015/08/26 00:00:00+00,0300,3,RT 55,INDUSTRIAL WY,S,N,Y,55,-,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,NEWPORT BEACH,-117.92580733,33.63017775,AUTO-PEDESTRIAN,2022
-117.926156809695,33.6296787963716,19,8404486,2017,2017/07/15 00:00:00+00,0119,6,RT 55,INDUSTRIAL WY,S,N,Y,55,-,1,1,1,0,0,1,0,0,1,1,0,0,ORANGE,NEWPORT BEACH,-117.92614471,33.62967397,AUTO-BICYCLIST,2022
-117.702442170167,33.6014649355768,20,6292708,2015,2015/05/30 00:00:00+00,1340,6,PASEO DE VALENCIA,KENNINGTON DR, ,Y,N, , ,1,1,0,0,0,0,0,0,1,0,0,0,ORANGE,LAGUNA HILLS,-117.70243011,33.6014601,AUTO-BICYCLIST,2022
-117.98958904131,33.7626755675719,21,6292786,2015,2015/11/29 00:00:00+00,1759,7,BEACH BL,21ST ST, ,Y,N,39, ,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,WESTMINSTER,-117.98957692,33.76267073,AUTO-PEDESTRIAN,2022
-117.613857851472,33.4362301609498,22,6292796,2015,2015/09/16 00:00:00+00,1740,3,CALLE EMPALME,CALLE MIGUEL,W,N,N, , ,1,1,0,0,0,0,0,0,1,0,0,0,ORANGE,SAN CLEMENTE,-117.61384582,33.43622534,AUTO-BICYCLIST,2022
-117.669122126493,33.497804875121,23,6292797,2015,2015/10/02 00:00:00+00,2210,5,DEL OBISPO ST,PASEO CAROLINA, ,Y,N, , ,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,SAN JUAN CAPISTRANO,-117.66911008,33.49780005,AUTO-PEDESTRIAN,2022
-117.993078983999,33.7882832302818,24,6292813,2015,2015/08/17 00:00:00+00,1407,1,RT 39,CHAPMAN AV,S,N,Y,39,5,1,1,0,0,0,0,1,0,0,0,0,0,ORANGE,STANTON,-117.99306686,33.78827839,AUTO-PEDESTRIAN,2022
-117.993078983999,33.7882832302818,25,8473119,2017,2017/10/09 00:00:00+00,0008,1,BEACH BL,CHAPMAN AV, ,Y,Y,39,5,2,0,2,1,0,1,0,0,0,0,0,0,ORANGE,STANTON,-117.99306686,33.78827839,AUTO-AUTO,2022
-117.930212242329,33.9067449375025,26,6292864,2015,2015/09/08 00:00:00+00,1238,2,HARBOR BL,LA ENTRADA PL, ,Y,N, , ,1,1,1,0,0,1,0,0,0,0,0,0,ORANGE,FULLERTON,-117.93020012,33.90674008,AUTO-AUTO,2022
-117.914919337913,33.623297346258,27,6292883,2016,2016/05/25 00:00:00+00,1324,3,MICHAEL PL,15TH ST,N,N,N, , ,1,1,0,0,0,0,0,0,1,0,0,0,ORANGE,NEWPORT BEACH,-117.91490724,33.62329252,AUTO-BICYCLIST,2022
-117.907133377052,33.6272846468338,28,6292885,2017,2017/02/20 00:00:00+00,1843,1,WESTCLIFF DR,RUTLAND RD,W,N,N, , ,1,1,0,0,0,0,0,0,1,0,0,0,ORANGE,NEWPORT BEACH,-117.90712128,33.62727982,AUTO-BICYCLIST,2022
-117.830677232863,33.7388410043414,29,6292892,2017,2017/05/23 00:00:00+00,1934,2,NISSON RD,PASADENA AV,E,N,N, , ,1,1,2,0,0,2,0,0,0,0,0,0,ORANGE,TUSTIN,-117.83066514,33.73883616,AUTO-AUTO,2022
-117.963442175051,33.7376348565154,30,6292906,2017,2017/02/20 00:00:00+00,0709,1,BUSHARD ST,MCFADDEN AV, ,Y,N, , ,1,1,0,0,0,0,0,0,0,0,0,0,ORANGE,WESTMINSTER,-117.96343006,33.73763002,AUTO-AUTO,2022
-118.047640607626,33.8463348437615,31,6292907,2017,2017/03/13 00:00:00+00,2240,1,LA PALMA,LOUSIE,E,N,N, , ,1,1,0,0,0,0,0,0,1,0,0,0,ORANGE,LA PALMA,-118.04762847,33.84633,AUTO-BICYCLIST,2022
